##species_taxonomy_id	orthgroup_id	count
585423 COG0438 17
585423 COG2931 17
585423 COG0457 13
585423 COG0745 10
585423 COG0500 10
585423 COG0451 8
585423 COG1413 8
585423 COG2197 8
585423 COG1215 7
585423 COG0454 7
585423 COG1028 7
585423 COG0642 7
585423 COG1376 6
585423 COG0237 6
585423 COG0484 6
585423 COG0463 6
585423 COG0568 6
585423 COG1357 6
585423 NOG01045 6
585423 COG0664 6
585423 COG0582 5
585423 COG0465 5
585423 COG0834 5
585423 COG0526 5
585423 COG0448 5
585423 COG2370 5
585423 COG0859 5
585423 COG1132 5
585423 COG0388 5
585423 COG0702 5
585423 COG0277 4
585423 COG2002 4
585423 COG0760 4
585423 COG3239 4
585423 COG0652 4
585423 COG1807 4
585423 COG3659 4
585423 COG2010 4
585423 COG5361 4
585423 COG1409 4
585423 COG2227 4
585423 COG1225 4
585423 COG0633 4
585423 COG0724 4
585423 COG4977 4
585423 COG0477 4
585423 COG0740 4
585423 COG0625 4
585423 COG0415 4
585423 COG4625 4
585423 COG0845 4
585423 COG1032 4
585423 COG2214 4
585423 COG2385 3
585423 COG0589 3
585423 COG3842 3
585423 COG0644 3
585423 COG0472 3
585423 COG0436 3
585423 COG0797 3
585423 COG0847 3
585423 COG0860 3
585423 COG3349 3
585423 COG0639 3
585423 COG0524 3
585423 COG4932 3
585423 COG0735 3
585423 COG0517 3
585423 COG0546 3
585423 COG1853 3
585423 COG0515 3
585423 COG3914 3
585423 COG1262 3
585423 COG0553 3
585423 COG0665 3
585423 COG0659 3
585423 COG0265 3
585423 COG0628 3
585423 COG0542 3
585423 COG2274 3
585423 COG2109 3
585423 COG3119 3
585423 COG1216 3
585423 COG0711 3
585423 COG0443 3
585423 COG0668 3
585423 COG0566 3
585423 COG0697 3
585423 COG0741 3
585423 COG0661 3
585423 NOG232224 3
585423 COG0204 3
585423 COG0564 3
585423 COG0226 3
585423 NOG01468 3
585423 COG4188 3
585423 COG4577 3
585423 NOG284878 3
585423 COG1008 3
585423 COG0739 3
585423 COG2267 3
585423 COG1252 3
585423 COG2374 3
585423 COG0823 3
585423 COG0346 3
585423 COG2885 3
585423 COG2072 3
585423 COG0681 3
585423 COG0366 3
585423 COG0239 2
585423 NOG36350 2
585423 COG3391 2
585423 COG0038 2
585423 NOG87346 2
585423 COG0489 2
585423 COG1452 2
585423 COG0607 2
585423 COG0507 2
585423 COG1109 2
585423 NOG70785 2
585423 COG0513 2
585423 COG0591 2
585423 COG0772 2
585423 COG0816 2
585423 COG1191 2
585423 COG0539 2
585423 COG1442 2
585423 COG2203 2
585423 COG0464 2
585423 COG0537 2
585423 NOG00598 2
585423 NOG203057 2
585423 COG0520 2
585423 COG0115 2
585423 COG0841 2
585423 COG1136 2
585423 COG3597 2
585423 COG2367 2
585423 COG2911 2
585423 COG0189 2
585423 COG0147 2
585423 COG1082 2
585423 COG1316 2
585423 COG3521 2
585423 NOG01317 2
585423 COG0225 2
585423 COG1840 2
585423 COG2020 2
585423 COG0426 2
585423 COG0075 2
585423 COG4221 2
585423 NOG203214 2
585423 COG1555 2
585423 COG0518 2
585423 COG2805 2
585423 COG2251 2
585423 COG0010 2
585423 COG1175 2
585423 COG2207 2
585423 COG1290 2
585423 COG0363 2
585423 COG0312 2
585423 COG1434 2
585423 COG1233 2
585423 COG1253 2
585423 COG0719 2
585423 COG4576 2
585423 COG2303 2
585423 COG1266 2
585423 COG1453 2
585423 COG3307 2
585423 COG0637 2
585423 COG0188 2
585423 COG0031 2
585423 COG0803 2
585423 COG0316 2
585423 COG1845 2
