##species_taxonomy_id	orthgroup_id	count
553174 COG1629 43
553174 COG0457 18
553174 COG3464 14
553174 COG4206 13
553174 COG1216 12
553174 COG3209 11
553174 COG0810 11
553174 COG4974 9
553174 COG3637 9
553174 COG0776 8
553174 COG1595 8
553174 COG0438 7
553174 COG2755 7
553174 COG0534 7
553174 COG4198 7
553174 COG0732 7
553174 COG2197 7
553174 COG0507 6
553174 COG0582 6
553174 COG1396 6
553174 COG0671 6
553174 COG0526 6
553174 COG3385 6
553174 COG0463 6
553174 COG0477 6
553174 COG0610 5
553174 COG1215 5
553174 COG0451 5
553174 COG5549 5
553174 COG2067 5
553174 COG2244 5
553174 COG3119 5
553174 COG0673 5
553174 COG3550 5
553174 COG0793 5
553174 COG0545 5
553174 COG1309 5
553174 COG0612 5
553174 COG0778 5
553174 COG2885 5
553174 COG3757 4
553174 COG2825 4
553174 COG0513 4
553174 COG0745 4
553174 COG5492 4
553174 COG3250 4
553174 COG2207 4
553174 COG3537 4
553174 COG4772 4
553174 COG0738 4
553174 COG1404 4
553174 COG0553 4
553174 COG3525 4
553174 COG1131 4
553174 COG0768 4
553174 COG0848 4
553174 COG1834 4
553174 COG1192 4
553174 COG0323 4
553174 COG0697 4
553174 COG0488 4
553174 COG0204 4
553174 COG0564 4
553174 NOG70171 3
553174 COG1061 3
553174 COG1051 3
553174 COG0019 3
553174 COG1670 3
553174 COG0280 3
553174 COG0156 3
553174 COG0436 3
553174 COG0674 3
553174 COG0760 3
553174 COG4724 3
553174 COG4823 3
553174 COG1022 3
553174 COG0735 3
553174 COG0789 3
553174 COG0637 3
553174 COG0249 3
553174 COG0517 3
553174 COG0454 3
553174 COG2378 3
553174 COG1917 3
553174 COG4928 3
553174 COG1014 3
553174 COG3843 3
553174 COG2195 3
553174 COG0286 3
553174 COG3943 3
553174 COG1373 3
553174 COG1538 3
553174 COG0621 3
553174 COG2259 3
553174 COG4219 3
553174 COG0265 3
553174 COG3325 3
553174 COG0358 3
553174 COG2304 3
553174 COG3620 3
553174 COG0514 3
553174 COG0568 3
553174 COG0642 3
553174 COG0297 3
553174 COG1522 3
553174 COG0550 3
553174 COG4775 3
553174 COG0210 3
553174 COG0110 3
553174 COG1052 3
553174 COG1208 3
553174 COG1284 3
553174 COG1506 3
553174 COG4232 3
553174 COG0702 3
553174 COG4773 3
553174 COG0737 3
553174 COG0726 3
553174 COG2865 3
553174 COG0386 3
553174 COG4886 3
553174 COG1032 3
553174 COG1013 3
553174 COG0664 3
553174 COG0739 3
553174 COG0352 3
553174 COG1502 3
553174 COG0823 3
553174 COG1112 3
553174 COG0366 3
553174 COG3391 2
553174 COG0489 2
553174 COG1452 2
553174 COG0770 2
553174 COG3772 2
553174 COG1109 2
553174 COG2954 2
553174 COG0073 2
553174 COG1597 2
553174 COG1115 2
553174 COG0614 2
553174 COG0392 2
553174 COG0772 2
553174 COG3590 2
553174 NOG250936 2
553174 COG1043 2
553174 COG3004 2
553174 COG0464 2
553174 COG0389 2
553174 COG0115 2
553174 COG0472 2
553174 COG0841 2
553174 COG0666 2
553174 NOG07097 2
553174 COG1368 2
553174 COG1235 2
553174 COG3103 2
553174 COG2911 2
553174 COG1408 2
553174 COG1403 2
553174 COG3666 2
553174 COG3505 2
553174 COG0847 2
553174 COG0205 2
553174 COG2194 2
553174 COG0543 2
553174 COG1209 2
553174 NOG298082 2
553174 COG0860 2
553174 COG1555 2
553174 COG1045 2
553174 COG0006 2
553174 COG1388 2
553174 COG3579 2
553174 COG0652 2
553174 NOG04563 2
553174 NOG299510 2
553174 COG3292 2
553174 COG3467 2
553174 COG0524 2
553174 COG0363 2
553174 COG0330 2
553174 COG0801 2
553174 COG2148 2
553174 COG1253 2
553174 COG0719 2
553174 COG0827 2
553174 COG3934 2
553174 COG3182 2
553174 COG0188 2
553174 COG0692 2
553174 COG0441 2
553174 COG4372 2
553174 COG4804 2
553174 COG2017 2
553174 COG1479 2
553174 COG0755 2
553174 COG3093 2
553174 COG4487 2
553174 COG0708 2
553174 COG3746 2
553174 COG0742 2
553174 COG5009 2
553174 COG0546 2
553174 COG1554 2
553174 COG1733 2
553174 COG1410 2
553174 COG4122 2
553174 COG0138 2
553174 COG2217 2
553174 NOG111113 2
553174 COG0635 2
553174 COG1572 2
553174 COG4667 2
553174 COG1028 2
553174 COG1428 2
553174 COG3177 2
553174 COG1180 2
553174 COG0475 2
553174 COG2373 2
553174 COG0714 2
553174 COG0209 2
553174 NOG00214 2
553174 COG0281 2
553174 COG0561 2
553174 COG3976 2
553174 COG1649 2
553174 COG0394 2
553174 COG0334 2
553174 NOG36119 2
553174 COG1609 2
553174 COG2852 2
553174 COG3669 2
553174 COG0484 2
553174 COG3279 2
553174 COG0836 2
553174 COG0503 2
553174 COG1559 2
553174 COG0628 2
553174 COG0572 2
553174 COG1011 2
553174 COG1694 2
553174 COG4591 2
553174 COG0224 2
553174 NOG03401 2
553174 COG2204 2
553174 COG4412 2
553174 COG4461 2
553174 COG1409 2
553174 COG1132 2
553174 COG1333 2
553174 COG1413 2
553174 COG1435 2
553174 COG0542 2
553174 COG0388 2
553174 COG0501 2
553174 COG1225 2
553174 COG4912 2
553174 COG2972 2
553174 COG2273 2
553174 COG0809 2
553174 COG0324 2
553174 COG1123 2
553174 COG1596 2
553174 COG3654 2
553174 COG3682 2
553174 COG0480 2
553174 COG0657 2
553174 COG0811 2
553174 COG0662 2
553174 COG3468 2
553174 COG3701 2
553174 COG1864 2
553174 NOG231175 2
553174 COG0590 2
553174 COG3193 2
553174 COG0318 2
553174 COG0758 2
553174 COG1002 2
553174 COG0178 2
553174 NOG12568 2
553174 COG1615 2
553174 COG0339 2
553174 COG0177 2
553174 COG0566 2
553174 COG0300 2
553174 COG5635 2
553174 COG0574 2
553174 COG2003 2
553174 NOG294867 2
553174 COG1846 2
553174 COG0250 2
553174 COG4085 2
553174 COG0317 2
553174 COG0741 2
553174 COG1193 2
553174 COG0399 2
553174 COG1211 2
553174 COG0527 2
553174 COG0008 2
553174 COG0024 2
553174 COG1721 2
553174 COG2211 2
553174 COG0494 2
553174 NOG28818 2
553174 COG1835 2
553174 NOG75317 2
553174 COG0845 2
553174 COG2873 2
553174 COG1143 2
553174 COG0622 2
553174 COG0329 2
553174 COG2985 2
553174 COG2059 2
553174 COG4735 2
553174 COG3118 2
553174 COG3863 2
553174 COG2957 2
553174 COG4690 2
553174 COG1696 2
553174 COG0142 2
553174 COG3206 2
553174 COG3023 2
553174 COG0187 2
553174 COG1418 2
553174 COG2374 2
553174 COG0569 2
553174 COG2233 2
553174 COG0826 2
553174 COG0681 2
553174 COG3451 2
553174 COG3568 2
553174 COG0351 2
553174 COG0795 2
553174 NOG284869 1
