##species_taxonomy_id	orthgroup_id	count
1123075 COG1879 50
1123075 COG0407 47
1123075 COG1129 46
1123075 COG1172 45
1123075 COG0745 41
1123075 COG2207 37
1123075 COG0642 35
1123075 COG1063 30
1123075 COG0673 29
1123075 COG1131 28
1123075 COG4977 28
1123075 COG1082 27
1123075 COG0534 25
1123075 COG1309 24
1123075 COG1609 22
1123075 COG2199 18
1123075 COG0583 17
1123075 COG0577 17
1123075 COG5263 17
1123075 COG1136 16
1123075 COG1132 15
1123075 COG1476 15
1123075 COG1396 14
1123075 COG0789 14
1123075 COG5002 14
1123075 COG1028 14
1123075 COG1653 14
1123075 COG2972 13
1123075 COG0784 12
1123075 COG4753 12
1123075 COG1012 12
1123075 COG3842 11
1123075 COG1595 11
1123075 COG0697 11
1123075 COG3279 10
1123075 COG2211 10
1123075 NOG06641 9
1123075 COG2508 9
1123075 COG0582 9
1123075 COG0716 9
1123075 COG0454 9
1123075 COG2186 9
1123075 COG1846 9
1123075 COG0726 9
1123075 COG0601 8
1123075 COG1175 8
1123075 COG0444 8
1123075 COG0500 8
1123075 COG1940 8
1123075 COG0515 8
1123075 COG0747 8
1123075 COG0842 8
1123075 COG5001 8
1123075 COG1173 8
1123075 COG0395 8
1123075 COG1961 8
1123075 COG5492 7
1123075 COG4608 7
1123075 COG0524 7
1123075 COG0463 7
1123075 COG4974 7
1123075 COG3119 7
1123075 COG1216 7
1123075 COG0655 7
1123075 COG0399 7
1123075 COG1686 7
1123075 COG0491 7
1123075 COG0778 7
1123075 COG2202 7
1123075 COG0681 7
1123075 COG1925 6
1123075 COG1191 6
1123075 COG0436 6
1123075 COG1376 6
1123075 COG2188 6
1123075 COG2755 6
1123075 COG5012 6
1123075 COG3290 6
1123075 COG1180 6
1123075 COG0236 6
1123075 COG1802 6
1123075 COG4577 6
1123075 COG0791 6
1123075 COG0191 6
1123075 COG0451 5
1123075 COG0446 5
1123075 COG1670 5
1123075 COG0438 5
1123075 COG1102 5
1123075 COG0860 5
1123075 COG5423 5
1123075 COG4767 5
1123075 COG0637 5
1123075 COG0493 5
1123075 COG1070 5
1123075 COG0834 5
1123075 COG0546 5
1123075 COG2217 5
1123075 COG1404 5
1123075 COG0600 5
1123075 COG0714 5
1123075 COG5464 5
1123075 COG1882 5
1123075 COG4200 5
1123075 COG1349 5
1123075 COG0768 5
1123075 COG1116 5
1123075 COG3437 5
1123075 COG1725 5
1123075 COG0388 5
1123075 COG2244 5
1123075 COG0457 5
1123075 COG0730 5
1123075 COG1052 5
1123075 COG0488 5
1123075 COG1454 5
1123075 COG1020 5
1123075 COG2865 5
1123075 COG2221 5
1123075 COG0564 5
1123075 COG3708 5
1123075 COG1032 5
1123075 COG2271 5
1123075 COG2340 5
1123075 COG0474 5
1123075 COG1959 4
1123075 COG1051 4
1123075 COG3718 4
1123075 COG1215 4
1123075 COG0145 4
1123075 COG0772 4
1123075 COG2203 4
1123075 COG1475 4
1123075 COG3666 4
1123075 COG1209 4
