##species_taxonomy_id	orthgroup_id	count
1442598 COG0745 26
1442598 COG0840 23
1442598 COG2199 22
1442598 COG4191 21
1442598 COG3385 15
1442598 COG1538 13
1442598 COG0642 13
1442598 COG0845 12
1442598 COG3335 11
1442598 COG5001 10
1442598 COG0477 9
1442598 COG5421 9
1442598 COG0715 9
1442598 COG3550 8
1442598 COG0582 7
1442598 COG3547 7
1442598 COG2202 7
1442598 COG2885 7
1442598 COG3829 7
1442598 COG2863 6
1442598 COG0438 6
1442598 COG0500 6
1442598 COG2010 6
1442598 COG1028 6
1442598 COG0697 6
1442598 COG0513 5
1442598 COG0841 5
1442598 COG0847 5
1442598 COG0790 5
1442598 COG5002 5
1442598 COG0526 5
1442598 COG4974 5
1442598 COG0210 5
1442598 COG0399 5
1442598 COG3210 5
1442598 COG0679 5
1442598 COG4584 5
1442598 COG2200 5
1442598 COG1959 4
1442598 COG0451 4
1442598 COG1136 4
1442598 COG4932 4
1442598 COG3039 4
1442598 COG0583 4
1442598 COG1858 4
1442598 COG0484 4
1442598 COG0348 4
1442598 COG1216 4
1442598 COG1192 4
1442598 COG0811 4
1442598 COG0730 4
1442598 COG1846 4
1442598 COG0791 4
1442598 COG2353 4
1442598 COG0112 4
1442598 COG3118 4
1442598 COG4564 4
1442598 COG3206 4
1442598 COG1344 4
1442598 COG1651 4
1442598 COG1051 3
1442598 COG0607 3
1442598 COG0537 3
1442598 COG0520 3
1442598 COG0666 3
1442598 COG3448 3
1442598 COG2194 3
1442598 COG2326 3
1442598 COG0760 3
1442598 COG2081 3
1442598 COG4786 3
1442598 COG2207 3
1442598 COG1034 3
1442598 COG0282 3
1442598 COG0735 3
1442598 COG2005 3
1442598 COG0517 3
1442598 COG2982 3
1442598 COG0803 3
1442598 COG0834 3
1442598 COG2301 3
1442598 COG0546 3
1442598 COG0600 3
1442598 COG0515 3
1442598 COG0394 3
1442598 COG4147 3
1442598 COG0492 3
1442598 COG0621 3
1442598 COG0577 3
1442598 COG1012 3
1442598 COG1629 3
1442598 COG0859 3
1442598 COG1116 3
1442598 COG2304 3
1442598 COG2204 3
1442598 COG3677 3
1442598 COG1409 3
1442598 COG0848 3
1442598 COG0668 3
1442598 COG0586 3
1442598 COG1826 3
1442598 COG0488 3
1442598 COG0741 3
1442598 COG3658 3
1442598 COG0204 3
1442598 COG0564 3
1442598 COG0494 3
1442598 COG0119 3
1442598 COG0243 3
1442598 COG3637 3
1442598 COG0810 3
1442598 COG0664 3
1442598 COG1961 3
1442598 COG2267 3
1442598 COG0352 3
1442598 COG1061 2
1442598 COG2165 2
1442598 COG1005 2
1442598 COG2141 2
1442598 COG0770 2
1442598 COG3842 2
1442598 COG0601 2
1442598 COG1109 2
1442598 COG1875 2
1442598 COG0838 2
1442598 COG0377 2
1442598 COG0019 2
1442598 COG0068 2
1442598 COG0073 2
1442598 COG0699 2
1442598 COG0610 2
1442598 COG0772 2
1442598 COG0305 2
1442598 COG1886 2
1442598 COG2201 2
1442598 COG2602 2
1442598 COG0446 2
1442598 COG4254 2
1442598 COG0473 2
1442598 COG1226 2
1442598 COG1475 2
