##species_taxonomy_id	orthgroup_id	count
1463861 COG1309 178
1463861 COG0477 152
1463861 COG1028 127
1463861 COG1846 94
1463861 COG1595 87
1463861 COG1396 82
1463861 COG2197 72
1463861 COG1960 64
1463861 COG2141 61
1463861 COG0515 54
1463861 COG3321 53
1463861 COG0500 52
1463861 COG1609 50
1463861 COG0583 48
1463861 COG0395 47
1463861 COG0346 46
1463861 COG2124 45
1463861 COG2172 45
1463861 COG1175 45
1463861 COG4585 45
1463861 COG2208 43
1463861 COG0457 42
1463861 COG0745 42
1463861 COG0596 42
1463861 COG0454 42
1463861 COG0642 41
1463861 COG1653 40
1463861 COG1012 38
1463861 COG1024 37
1463861 COG1131 37
1463861 COG0654 37
1463861 COG2267 32
1463861 COG0789 31
1463861 COG2207 29
1463861 COG0604 29
1463861 COG1940 28
1463861 COG1522 26
1463861 COG2188 25
1463861 COG0183 25
1463861 COG0747 25
1463861 COG0318 25
1463861 COG0640 25
1463861 COG0667 25
1463861 COG1136 24
1463861 COG1132 24
1463861 COG3903 24
1463861 COG1680 24
1463861 COG1414 24
1463861 COG2159 23
1463861 COG0673 23
1463861 COG1020 23
1463861 COG0715 23
1463861 COG1051 22
1463861 COG0601 22
1463861 COG0577 22
1463861 COG2755 22
1463861 COG4221 21
1463861 COG3629 21
1463861 COG1802 21
1463861 COG2018 21
1463861 COG2203 21
1463861 COG1173 21
1463861 COG0531 20
1463861 COG0842 20
1463861 COG0726 20
1463861 COG2186 19
1463861 COG1670 19
1463861 COG1073 19
1463861 COG0702 18
1463861 COG2909 18
1463861 COG1733 18
1463861 COG0697 18
1463861 COG0524 17
1463861 COG2508 17
1463861 COG0438 17
1463861 COG1404 17
1463861 COG1917 16
1463861 COG1879 16
1463861 COG0665 16
1463861 COG5297 16
1463861 COG0791 16
1463861 COG0451 16
1463861 COG1172 16
1463861 COG1804 16
1463861 COG0366 16
1463861 COG4608 15
1463861 COG2310 15
1463861 COG3631 15
1463861 COG0671 15
1463861 COG0765 15
1463861 COG4977 15
1463861 COG0491 15
1463861 COG2229 15
1463861 COG3409 15
1463861 COG1063 15
1463861 COG1215 14
1463861 COG3250 14
1463861 COG1335 14
1463861 COG3408 14
1463861 COG2409 14
1463861 COG0444 14
1463861 COG2936 14
1463861 COG1397 14
1463861 COG1376 13
1463861 COG1277 13
1463861 COG2030 13
1463861 COG1409 13
1463861 COG0624 13
1463861 COG0308 13
1463861 COG2072 13
1463861 COG0277 13
1463861 COG1472 13
1463861 COG0600 13
1463861 COG0657 13
1463861 COG0446 12
1463861 COG0582 12
1463861 COG3467 12
1463861 COG2128 12
1463861 COG0406 12
1463861 COG1216 12
1463861 COG0683 12
1463861 COG0739 12
1463861 COG1141 12
1463861 COG1695 12
1463861 COG1116 12
1463861 COG1366 12
